,year,continent,co2,co2_per_capita,co2_global_share
72,1884,Africa,0.022000000000000002,0.005,0.0
73,1885,Africa,0.037000000000000005,0.008,0.0
74,1886,Africa,0.048,0.01,0.0
75,1887,Africa,0.048,0.01,0.0
76,1888,Africa,0.081,0.017,0.01
77,1889,Africa,0.132,0.027999999999999997,0.01
78,1890,Africa,0.297,0.062,0.02
79,1891,Africa,0.297,0.062,0.02
80,1892,Africa,0.48,0.099,0.04
81,1893,Africa,1.7990000000000002,0.366,0.13
82,1894,Africa,2.4330000000000003,0.49,0.17
83,1895,Africa,3.338,0.664,0.22
84,1896,Africa,4.258,0.838,0.28
85,1897,Africa,4.7780000000000005,0.93,0.3
86,1898,Africa,6.0489999999999995,1.1640000000000001,0.36
87,1899,Africa,5.518,1.048,0.3
88,1900,Africa,2.33,0.436,0.12
89,1901,Africa,3.909,0.721,0.19
90,1902,Africa,5.8260000000000005,1.057,0.28
91,1903,Africa,7.896,1.169,0.35
92,1904,Africa,8.911,1.296,0.39
93,1905,Africa,10.263,1.4669999999999999,0.42
94,1906,Africa,11.717,1.646,0.46
95,1907,Africa,12.93,1.785,0.45
96,1908,Africa,13.402999999999999,1.819,0.48
97,1909,Africa,15.385,2.052,0.53
98,1910,Africa,17.410999999999998,2.283,0.58
99,1911,Africa,16.865,0.892,0.55
100,1912,Africa,17.954,0.937,0.56
101,1913,Africa,19.605999999999998,1.01,0.56
102,1914,Africa,19.551,0.9940000000000001,0.62
103,1915,Africa,19.605999999999998,0.466,0.63
104,1916,Africa,23.255,0.461,0.69
105,1917,Africa,25.344,0.49700000000000005,0.72
106,1918,Africa,24.725,0.48,0.71
107,1919,Africa,25.443,0.511,0.84
108,1920,Africa,28.052,0.461,0.8
109,1921,Africa,27.986,0.45399999999999996,0.91
110,1922,Africa,23.97,0.39899999999999997,0.74
111,1923,Africa,29.045,0.47700000000000004,0.79
112,1924,Africa,30.631,0.496,0.83
113,1925,Africa,32.185,0.513,0.87
114,1926,Africa,34.438,0.541,0.94
115,1927,Africa,33.841,0.49200000000000005,0.85
116,1928,Africa,34.77,0.457,0.88
117,1929,Africa,35.802,0.46399999999999997,0.84
118,1930,Africa,33.696,0.43,0.86
119,1931,Africa,29.464000000000002,0.37,0.84
120,1932,Africa,26.623,0.32899999999999996,0.84
121,1933,Africa,28.491,0.324,0.86
122,1934,Africa,32.539,0.364,0.9
123,1935,Africa,35.91,0.396,0.95
124,1936,Africa,39.016,0.439,0.94
125,1937,Africa,41.843999999999994,0.46399999999999997,0.94
126,1938,Africa,44.013000000000005,0.48,1.05
127,1939,Africa,46.853,0.499,1.06
128,1940,Africa,49.648999999999994,0.52,1.02
129,1941,Africa,54.023,0.47,1.09
130,1942,Africa,58.823,0.504,1.19
131,1943,Africa,60.12,0.507,1.2
132,1944,Africa,66.633,0.649,1.31
133,1945,Africa,67.527,0.628,1.59
134,1946,Africa,68.15899999999999,0.644,1.47
135,1947,Africa,67.935,0.609,1.32
136,1948,Africa,71.733,0.545,1.33
137,1949,Africa,77.324,0.5770000000000001,1.47
138,1950,Africa,93.45200000000001,0.474,1.56
139,1951,Africa,99.86200000000001,0.496,1.57
140,1952,Africa,108.882,0.529,1.68
141,1953,Africa,110.796,0.527,1.67
142,1954,Africa,116.15700000000001,0.541,1.71
143,1955,Africa,128.058,0.583,1.72
144,1956,Africa,133.509,0.594,1.68
145,1957,Africa,139.953,0.608,1.71
146,1958,Africa,148.305,0.58,1.76
147,1959,Africa,147.911,0.54,1.67
148,1960,Africa,156.64,0.5589999999999999,1.67
149,1961,Africa,162.079,0.565,1.72
150,1962,Africa,166.426,0.5670000000000001,1.71
151,1963,Africa,176.44799999999998,0.586,1.72
152,1964,Africa,193.764,0.627,1.79
153,1965,Africa,213.785,0.675,1.89
154,1966,Africa,221.262,0.6809999999999999,1.86
155,1967,Africa,237.25799999999998,0.7120000000000001,1.94
156,1968,Africa,257.6,0.754,2.0
157,1969,Africa,278.139,0.794,2.02
158,1970,Africa,302.943,0.843,2.03
159,1971,Africa,332.20599999999996,0.9,2.14
160,1972,Africa,352.24199999999996,0.9279999999999999,2.17
161,1973,Africa,378.42699999999996,0.972,2.22
162,1974,Africa,388.87300000000005,0.972,2.29
163,1975,Africa,387.839,0.9440000000000001,2.28
164,1976,Africa,420.86800000000005,0.997,2.34
165,1977,Africa,433.85699999999997,1.0,2.35
166,1978,Africa,463.282,1.038,2.43
167,1979,Africa,500.009,1.089,2.55
168,1980,Africa,536.51,1.137,2.75
169,1981,Africa,549.389,1.1320000000000001,2.89
170,1982,Africa,572.6030000000001,1.146,3.03
171,1983,Africa,595.441,1.159,3.13
172,1984,Africa,650.285,1.23,3.31
173,1985,Africa,666.684,1.226,3.28
174,1986,Africa,690.7,1.235,3.35
175,1987,Africa,690.794,1.2009999999999998,3.25
176,1988,Africa,726.048,1.228,3.29
177,1989,Africa,699.221,1.15,3.12
178,1990,Africa,659.295,1.052,2.9
179,1991,Africa,689.0260000000001,1.068,2.97
180,1992,Africa,668.677,1.01,2.96
181,1993,Africa,708.8580000000001,1.043,3.11
182,1994,Africa,719.623,1.0290000000000001,3.13
183,1995,Africa,771.9939999999999,1.077,3.29
184,1996,Africa,783.2539999999999,1.0659999999999998,3.24
185,1997,Africa,812.903,1.079,3.35
186,1998,Africa,838.0219999999999,1.085,3.46
187,1999,Africa,830.3969999999999,1.05,3.39
188,2000,Africa,886.562,1.094,3.51
189,2001,Africa,884.168,1.064,3.47
190,2002,Africa,892.575,1.0490000000000002,3.43
191,2003,Africa,967.22,1.109,3.53
192,2004,Africa,1036.6860000000001,1.16,3.62
193,2005,Africa,1057.3419999999999,1.155,3.57
194,2006,Africa,1090.195,1.161,3.56
195,2007,Africa,1132.2930000000001,1.176,3.6
196,2008,Africa,1181.391,1.197,3.68
197,2009,Africa,1191.035,1.176,3.77
198,2010,Africa,1218.0230000000001,1.172,3.65
199,2011,Africa,1258.7089999999998,1.181,3.65
200,2012,Africa,1253.144,1.146,3.58
201,2013,Africa,1260.316,1.123,3.57
202,2014,Africa,1363.5,1.1840000000000002,3.84
203,2015,Africa,1322.735,1.119,3.73
204,2016,Africa,1356.719,1.119,3.83
205,2017,Africa,1384.372,1.113,3.85
206,2018,Africa,1385.645,1.0859999999999999,3.78
207,2019,Africa,1408.479,1.077,3.84
208,2020,Africa,1326.0439999999999,0.99,3.81
1053,1830,Asia,0.002,0.0,0.0
1054,1831,Asia,0.003,0.0,0.0
1055,1832,Asia,0.002,0.0,0.0
1056,1833,Asia,0.002,0.0,0.0
1057,1834,Asia,,,
1058,1835,Asia,,,
1059,1836,Asia,,,
1060,1837,Asia,,,
1061,1838,Asia,,,
1062,1839,Asia,,,
1063,1840,Asia,,,
1064,1841,Asia,,,
1065,1842,Asia,,,
1066,1843,Asia,,,
1067,1844,Asia,,,
1068,1845,Asia,,,
1069,1846,Asia,,,
1070,1847,Asia,,,
1071,1848,Asia,,,
1072,1849,Asia,,,
1073,1850,Asia,0.015,0.002,0.01
1074,1851,Asia,,,
1075,1852,Asia,,,
1076,1853,Asia,,,
1077,1854,Asia,,,
1078,1855,Asia,0.045,0.004,0.02
1079,1856,Asia,,,
1080,1857,Asia,,,
1081,1858,Asia,0.45799999999999996,0.002,0.16
1082,1859,Asia,0.7040000000000001,0.003,0.23
1083,1860,Asia,0.733,0.003,0.22
1084,1861,Asia,0.611,0.002,0.18
1085,1862,Asia,0.653,0.002,0.18
1086,1863,Asia,0.7170000000000001,0.003,0.19
1087,1864,Asia,0.6970000000000001,0.003,0.17
1088,1865,Asia,0.8320000000000001,0.003,0.19
1089,1866,Asia,1.21,0.004,0.27
1090,1867,Asia,0.6409999999999999,0.027000000000000003,0.13
1091,1868,Asia,0.531,0.009000000000000001,0.11
1092,1869,Asia,0.752,0.013000000000000001,0.14
1093,1870,Asia,0.682,0.012,0.13
1094,1871,Asia,0.907,0.016,0.16
1095,1872,Asia,0.98,0.017,0.16
1096,1873,Asia,0.937,0.016,0.14
1097,1874,Asia,1.642,0.027000000000000003,0.26
1098,1875,Asia,2.7119999999999997,0.045,0.4
1099,1876,Asia,2.821,0.046,0.41
1100,1877,Asia,2.903,0.048,0.42
1101,1878,Asia,5.477,0.017,0.78
1102,1879,Asia,5.691,0.018000000000000002,0.75
1103,1880,Asia,6.211,0.019,0.73
1104,1881,Asia,6.372000000000001,0.02,0.72
1105,1882,Asia,6.901,0.021,0.74
1106,1883,Asia,7.632999999999999,0.023,0.77
1107,1884,Asia,8.218,0.025,0.82
1108,1885,Asia,8.567,0.025,0.85
1109,1886,Asia,9.144,0.027000000000000003,0.89
